title_id,publication_title,print_identifier,first_editor,date_monograph_published_online,date_monograph_published_print,title_url
pub169,"Innovation, Collaboration, and Models",978-1-932326-54-3,Cheryl Oestreicher,2015-11,2015-11,http://www.clir.org/pubs/reports/pub169
pub168,Building Expertise to Support Digital Scholarship: A Global Perspective,978-1-932326-51-2,Vivian Lewis,2015-10,2015-10,http://www.clir.org/pubs/reports/pub168
pub167,The Process of Discovery: The CLIR Postdoctoral Fellowship Program and the Future of the Academy,978-1-932326-52-9, John C. Maclachlan,2015-09,2015-09,http://www.clir.org/pubs/reports/pub167
pub166,The Once and Future Publishing Library,978-1-932326-53-6,Ann Okerson ,2015-07,2015-07,http://www.clir.org/pubs/reports/pub166
pub165,Getting Found: SEO Cookbook,"",Patrick O’Brien ,2015-05,2015-05,http://www.clir.org/pubs/reports/pub165
pub164,ARSC Guide to Audio Preservation,978-1-932326-50-5,Sam Brylawski,2015-05,2015-05,http://www.clir.org/pubs/reports/pub164
pub163,The Center of Excellence Model for Information Services,978-1-932326-49-9,Joy Kirchner,2015-02,2015-02,http://www.clir.org/pubs/reports/pub163
pub162,"The Changing Landscape of Library and Information Services: What Presidents, Provosts, and Finance Officers Need to Know","",Richard Holmgren ,2014-09,2014-09,http://www.clir.org/pubs/reports/pub162
pub161,"Participatory Design in Academic Libraries, New Reports and Findings",978-1-932326-48-2,Nancy Fried Foster,2014-02,2014-02,http://www.clir.org/pubs/reports/pub161
pub160,"Research Data Management: Principles, Practices, and Prospects",978-1-932326-47-5,,2013-11,2013-11,http://www.clir.org/pubs/reports/pub160
pub159,"Born Digital: Guidance for Donors, Dealers, and Archival Repositories",978-1-932326-46-8,Gabriela Redwine,2013-10,2013-10,http://www.clir.org/pubs/reports/pub159
pub158,The Survival of American Silent Feature Films: 1912–1929,978-1-932326-39-0,David Pierce,2013-09,2013-09,http://www.clir.org/pubs/reports/pub158
pub157,Images of Works of Art in Museum Collections: The Experience of Open Access,978-1-932326-45-1,Kristin Kelly,2013-06,2013-06,http://www.clir.org/pubs/reports/pub157
pub156,The Library of Congress National Recording Preservation Plan,978-1-932326-44-4,,2012-12,2012-12,http://www.clir.org/pubs/reports/pub156
pub155,"Participatory Design in Academic Libraries: Methods, Findings, and Implementations",978-1-932326-43-7,with introduction Nancy Fried Foster.,2012-10,2012-10,http://www.clir.org/pubs/reports/pub155
pub154,The Problem of Data,978-1-932326-42-0,Lori Jahnke,2012-08,2012-08,http://www.clir.org/pubs/reports/pub154
pub153,Core Infrastructure Considerations for Large Digital Libraries,978-1-932326-41-3,,2012-07,2012-07,http://www.clir.org/pubs/reports/pub153
pub152,"Linked Data for Libraries, Museums, and Archives: Survey and Workshop Report","",,2011-10,2011-10,http://www.clir.org/pubs/abstract/pub152abst.html/../reports/pub152
pub151,One Culture. Computationally Intensive Research in the Humanities and Social Sciences,978-1-932326-40-6,,2012-06,2012-06,http://www.clir.org/pubs/reports/pub151
pub150,"""Rome Wasn't Digitized in a Day"": Building a Cyberinfrastructure for Digital Classicists",978-1-932326-38-3,Alison Babeu,2011-08,2011-08,http://www.clir.org/pubs/abstract/pub150abst.html/../reports/pub150
pub149,Digital Forensics and Born-Digital Content in Cultural Heritage Collections,978-1-932326-37-6,Matthew G. Kirschenbaum,2010-12,2010-12,http://www.clir.org/pubs/abstract/pub149abst.html/../reports/pub149
pub148,The State of Recorded Sound Preservation in the United States: A National Legacy at Risk in the Digital Age,978-1-932326-36-9,,2010-08,2010-08,http://www.clir.org/pubs/abstract/pub148abst.html/../reports/pub148
pub147,The Idea of Order: Transforming Research Collections for 21st Century Scholarship,978-1-932326-35-2,,2010-06,2010-06,http://www.clir.org/pubs/abstract/pub147abst.html/../reports/pub147
pub146,Protection for Pre-1972 Sound Recordings under State Law and Its Impact on Use by Nonprofit Institutions: A 10-State Analysis,978-1-932326-34-5,,2009-09,2009-09,http://www.clir.org/pubs/abstract/pub146abst.html/../reports/pub146
