title_id,publication_title,print_identifier,first_editor,date_monograph_published_online,date_monograph_published_print,title_url
pub176,3D/VR in the Academic Library: Emerging Practices and Trends,978-1-932326-60-4,,2019-02,2019-02,https://www.clir.org/pubs-reports-pub176/
pub175,The Future of Email Archives,978-1-932326-59-8,,2018-08,2018-08,https://www.clir.org/pubs/reports/pub175/
pub174,A Splendid Torch: Learning and Teaching in Today’s Academic Libraries,978-1-932326-58-1,,2017-09,2017-09,https://www.clir.org/pubs/reports/pub174/
pub173,"Keepers of Our Digital Future,Supplemental Assessment",978-1-932326-57-4,,2016-12,2016-12,https://clir.wordpress.clir.org/pubs/reports/pub173/https://www.clir.org/pubs/reports/pub173/
pub172,National Institute for Technology in Liberal Education: An Assessment,"",,2016-08,2016-08,https://clir.wordpress.clir.org/?p=287
pub171,The Open Data Imperative: How the Cultural Heritage Community Can Address the Federal Mandate,978-1-932326-56-7,,2016-07,2016-07,https://clir.wordpress.clir.org/?p=701
pub170,Terra Cognita: Graduate Students in the Archives,978-1-932326-55-0,,2016-05,2016-05,https://clir.wordpress.clir.org/?p=700
pub169,"Innovation, Collaboration, and Models",978-1-932326-54-3,Cheryl Oestreicher,2015-11,2015-11,https://clir.wordpress.clir.org/?p=699
pub168,Building Expertise to Support Digital Scholarship: A Global Perspective,978-1-932326-51-2,by Vivian Lewis,2015-10,2015-10,https://clir.wordpress.clir.org/?p=698
pub167,The Process of Discovery: The CLIR Postdoctoral Fellowship Program and the Future of the Academy,978-1-932326-52-9, John C. Maclachlan,,,https://clir.wordpress.clir.org/?p=697
pub166,The Once and Future Publishing Library,978-1-932326-53-6,by Ann Okerson ,2015-07,2015-07,https://clir.wordpress.clir.org/?p=696
pub165,Getting Found: SEO Cookbook,"",by Patrick O’Brien ,2015-05,2015-05,https://www.clir.org/pubs/reports/pub165/
pub164,ARSC Guide to Audio Preservation,978-1-932326-50-5,Sam Brylawski,2015-05,2015-05,https://clir.wordpress.clir.org/?p=548
pub163,The Center of Excellence Model for Information Services,978-1-932326-49-9,by Joy Kirchner,2015-02,2015-02,https://clir.wordpress.clir.org/?p=694
pub162,"The Changing Landscape of Library and Information Services: What Presidents, Provosts, and Finance Officers Need to Know","",by Richard Holmgren ,2014-09,2014-09,https://clir.wordpress.clir.org/?p=547
pub161,"Participatory Design in Academic Libraries, New Reports and Findings",978-1-932326-48-2,Nancy Fried Foster,2014-02,2014-02,https://clir.wordpress.clir.org/?p=693
pub160,"Research Data Management: Principles, Practices, and Prospects",978-1-932326-47-5,,2013-11,2013-11,https://clir.wordpress.clir.org/?p=692
pub159,"Born Digital: Guidance for Donors, Dealers, and Archival Repositories",978-1-932326-46-8,Gabriela Redwine,2013-10,2013-10,https://clir.wordpress.clir.org/?p=691
pub158,The Survival of American Silent Feature Films: 1912–1929,978-1-932326-39-0,David Pierce,2013-09,2013-09,https://clir.wordpress.clir.org/?p=690
pub157,Images of Works of Art in Museum Collections: The Experience of Open Access,978-1-932326-45-1,Kristin Kelly,2013-06,2013-06,https://clir.wordpress.clir.org/?p=689
pub156,The Library of Congress National Recording Preservation Plan,978-1-932326-44-4,,2012-12,2012-12,https://clir.wordpress.clir.org/?p=688
pub155,"Participatory Design in Academic Libraries: Methods, Findings, and Implementations",978-1-932326-43-7,with introduction by Nancy Fried Foster.,2012-10,2012-10,https://clir.wordpress.clir.org/?p=475
pub154,The Problem of Data,978-1-932326-42-0,by Lori Jahnke,2012-08,2012-08,https://clir.wordpress.clir.org/?p=687
pub153,Core Infrastructure Considerations for Large Digital Libraries,978-1-932326-41-3,,2012-07,2012-07,https://clir.wordpress.clir.org/?p=686
pub152,"Linked Data for Libraries, Museums, and Archives: Survey and Workshop Report","",,2011-10,2011-10,https://clir.wordpress.clir.org/?p=466
pub151,One Culture. Computationally Intensive Research in the Humanities and Social Sciences,978-1-932326-40-6,,2012-06,2012-06,https://clir.wordpress.clir.org/?p=685
pub150,“Rome Wasn’t Digitized in a Day”: Building a Cyberinfrastructure for Digital Classicists,978-1-932326-38-3,Alison Babeu,2011-08,2011-08,https://clir.wordpress.clir.org/?p=465
pub149,Digital Forensics and Born-Digital Content in Cultural Heritage Collections,978-1-932326-37-6,Matthew G. Kirschenbaum,2010-12,2010-12,https://clir.wordpress.clir.org/?p=464
pub148,The State of Recorded Sound Preservation in the United States: A National Legacy at Risk in the Digital Age,978-1-932326-36-9,,2010-08,2010-08,https://clir.wordpress.clir.org/?p=463
pub147,The Idea of Order: Transforming Research Collections for 21st Century Scholarship,978-1-932326-35-2,,2010-06,2010-06,https://clir.wordpress.clir.org/?p=462
pub146,Protection for Pre-1972 Sound Recordings under State Law and Its Impact on Use by Nonprofit Institutions: A 10-State Analysis,978-1-932326-34-5,,2009-09,2009-09,https://clir.wordpress.clir.org/?p=461
pub145,Working Together or Apart: Promoting the Next Generation of Digital Scholarship,978-1-932326-33-8,,2009-03,2009-03,https://clir.wordpress.clir.org/?p=460
pub144,Copyright and Related Issues Relevant to Digital Preservation and Dissemination of Unpublished Pre-1972 Sound Recordings by Libraries and Archives,978-1-932326-32-1,June M. Besek,2009-03,2009-03,https://clir.wordpress.clir.org/?p=459
