title,isbn,date_start_full_text_coverage,date_end_full_text_coverage,title_url
"Innovation, Collaboration, and Models",ISBN 978-1-932326-54-3,1992,2015,http://www.clir.org/pubs/reports/pub169
Building Expertise to Support Digital Scholarship: A Global Perspective,ISBN 978-1-932326-51-2,1992,2015,http://www.clir.org/pubs/reports/pub168
The Process of Discovery: The CLIR Postdoctoral Fellowship Program and the Future of the Academy,ISBN 978-1-932326-52-9,1992,2015,http://www.clir.org/pubs/reports/pub167
The Once and Future Publishing Library,ISBN 978-1-932326-53-6,1992,2015,http://www.clir.org/pubs/reports/pub166
Getting Found: SEO Cookbook,,1992,2015,http://www.clir.org/pubs/reports/pub165
ARSC Guide to Audio Preservation,ISBN 978-1-932326-50-5,1992,2015,http://www.clir.org/pubs/reports/pub164
The Center of Excellence Model for Information Services,ISBN 978-1-932326-49-9,1992,2015,http://www.clir.org/pubs/reports/pub163
"The Changing Landscape of Library and Information Services: What Presidents, Provosts, and Finance Officers Need to Know",,1992,2015,http://www.clir.org/pubs/reports/pub162
"Participatory Design in Academic Libraries, New Reports and Findings",ISBN 978-1-932326-48-2,1992,2015,http://www.clir.org/pubs/reports/pub161
"Research Data Management: Principles, Practices, and Prospects",ISBN 978-1-932326-47-5,1992,2015,http://www.clir.org/pubs/reports/pub160
"Born Digital: Guidance for Donors, Dealers, and Archival Repositories",ISBN 978-1-932326-46-8,1992,2015,http://www.clir.org/pubs/reports/pub159
The Survival of American Silent Feature Films: 1912–1929,ISBN 978-1-932326-39-0,1992,2015,http://www.clir.org/pubs/reports/pub158
Images of Works of Art in Museum Collections: The Experience of Open Access,ISBN 978-1-932326-45-1,1992,2015,http://www.clir.org/pubs/reports/pub157
The Library of Congress National Recording Preservation Plan,ISBN 978-1-932326-44-4,1992,2015,http://www.clir.org/pubs/reports/pub156
"Participatory Design in Academic Libraries: Methods, Findings, and Implementations",ISBN 978-1-932326-43-7,1992,2015,http://www.clir.org/pubs/reports/pub155
The Problem of Data,ISBN 978-1-932326-42-0,1992,2015,http://www.clir.org/pubs/reports/pub154
Core Infrastructure Considerations for Large Digital Libraries,ISBN 978-1-932326-41-3,1992,2015,http://www.clir.org/pubs/reports/pub153
